nome,codigo,preco,ipi,referencia,descricao
prego,3214,0.31,,,prego duro
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
,,,,,
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
dare,1234,0.54,,,dare eh gay
,,,,,dare eh gay

